Brand,Model,Price After Discount,Price Before Discount
Fossil,FS6021SET,"EGP 16,050","EGP 17,890"
Fossil,FS6018SET,"EGP 15,060","EGP 16,790"
Fossil,FS5251SET,"EGP 15,060","EGP 16,790"
Fossil,FS5708SET,"EGP 14,160","EGP 15,790"
Fossil,FS5967SET,"EGP 15,060","EGP 16,790"
Fossil,ES5250SET,"EGP 11,730","EGP 13,090"
Fossil,ES5252SET,"EGP 14,070","EGP 15,690"
Fossil,ES5315SET,"EGP 14,160","EGP 15,790"
Fossil,ES5313SET,"EGP 13,080","EGP 14,590"
Fossil,BQ2469SET,"EGP 14,070","EGP 15,690"
Fossil,BQ2711,"EGP 11,280","EGP 12,590"
Fossil,FS6042,"EGP 14,160","EGP 15,790"
Fossil,FS6044,"EGP 14,160","EGP 15,790"
Fossil,FS6045,"EGP 16,050","EGP 17,890"
Fossil,FS6047,"EGP 16,050","EGP 17,890"
Fossil,FS6048,"EGP 16,050","EGP 17,890"
Fossil,BQ2609,"EGP 10,110","EGP 11,290"
Fossil,FS5963,"EGP 11,280","EGP 12,590"
Fossil,BQ2799,"EGP 14,070","EGP 15,690"
Fossil,BQ2800,"EGP 14,160","EGP 15,790"
Fossil,BQ2757,"EGP 14,070","EGP 15,690"
Fossil,BQ2758,"EGP 14,160","EGP 15,790"
Fossil,BQ2760,"EGP 12,270","EGP 13,690"
Fossil,BQ2412,"EGP 11,280","EGP 12,590"
Fossil,FS4656,"EGP 11,820","EGP 13,190"
Fossil,FS4682,"EGP 13,080","EGP 14,590"
Fossil,BQ2708,"EGP 11,280","EGP 12,590"
Fossil,FS5751,"EGP 11,280","EGP 12,590"
Fossil,FS5753,"EGP 11,730","EGP 13,090"
Fossil,FS5724,"EGP 11,280","EGP 12,590"
Fossil,FS5767,"EGP 11,280","EGP 12,590"
Fossil,FS5798,"EGP 10,200","EGP 11,390"
Fossil,FS5851,"EGP 13,440","EGP 14,990"
Fossil,FS5855,"EGP 12,270","EGP 13,690"
Fossil,FS5856,"EGP 11,280","EGP 12,590"
Fossil,FS5710,"EGP 11,820","EGP 13,190"
Fossil,BQ2196,"EGP 12,180","EGP 13,590"
Fossil,BQ2730,"EGP 11,640","EGP 12,990"
Fossil,BQ2328IE,"EGP 11,280","EGP 12,590"
Fossil,BQ2330IE,"EGP 11,190","EGP 12,490"
Fossil,BQ2402,"EGP 11,280","EGP 12,590"
Fossil,BQ2512,"EGP 10,560","EGP 11,790"
Fossil,BQ2458,"EGP 11,280","EGP 12,590"
Fossil,BQ2417,"EGP 9,040","EGP 10,090"
Fossil,BQ2491,"EGP 11,280","EGP 12,590"
Fossil,BQ2541,"EGP 11,100","EGP 12,390"
Fossil,BQ2540,"EGP 11,280","EGP 12,590"
Fossil,BQ2125IE,"EGP 9,390","EGP 10,490"
GUESS,GW0572G4,"EGP 14,790","EGP 16,490"
GUESS,GW0572G5,"EGP 14,700","EGP 16,390"
GUESS,GW0488G1,"EGP 13,170","EGP 14,690"
GUESS,GW0489G1,"EGP 13,710","EGP 15,290"
GUESS,GW0492G3,"EGP 14,520","EGP 16,190"
GUESS,GW0487G1,"EGP 12,450","EGP 13,890"
GUESS,GW0487G4,"EGP 14,070","EGP 15,690"
GUESS,GW0487G5,"EGP 14,790","EGP 16,490"
GUESS,GW0490G1,"EGP 11,370","EGP 12,690"
GUESS,GW0540G1,"EGP 11,820","EGP 13,190"
GUESS,GW0540G2,"EGP 12,360","EGP 13,790"
GUESS,GW0456G2,"EGP 14,520","EGP 16,190"
GUESS,GW0202G2,"EGP 14,160","EGP 15,790"
GUESS,GW0204G1,"EGP 11,010","EGP 12,290"
GUESS,GW0204G2,"EGP 13,530","EGP 15,090"
GUESS,GW0206G1,"EGP 11,820","EGP 13,190"
GUESS,GW0206G2,"EGP 13,530","EGP 15,090"
GUESS,GW0538G1,"EGP 11,010","EGP 12,290"
GUESS,GW0216G1,"EGP 11,190","EGP 12,490"
GUESS,GW0263G2,"EGP 13,620","EGP 15,190"
GUESS,GW0264G4,"EGP 11,280","EGP 12,590"
GUESS,GW0265G1,"EGP 11,640","EGP 12,990"
GUESS,GW0265G7,"EGP 10,650","EGP 11,890"
GUESS,GW0265G5,"EGP 11,730","EGP 13,090"
GUESS,GW0265G8,"EGP 11,730","EGP 13,090"
GUESS,GW0265G2,"EGP 11,820","EGP 13,190"
GUESS,GW0332G1,"EGP 9,570","EGP 10,690"
GUESS,GW0368G1,"EGP 9,480","EGP 10,590"
GUESS,GW0423G2,"EGP 13,710","EGP 15,290"
GUESS,GW0423G3,"EGP 13,440","EGP 14,990"
GUESS,GW0423G4,"EGP 13,440","EGP 14,990"
GUESS,GW0423G5,"EGP 13,440","EGP 14,990"
GUESS,GW0051G3,"EGP 13,710","EGP 15,290"
GUESS,GW0056G5,"EGP 12,630","EGP 14,090"
GUESS,GW0330G1,"EGP 11,370","EGP 12,690"
GUESS,GW0388G2,"EGP 9,130","EGP 10,190"
GUESS,GW0388G3,"EGP 9,130","EGP 10,190"
GUESS,GW0503G1,"EGP 9,300","EGP 10,390"
GUESS,GW0009G1,"EGP 9,130","EGP 10,190"
GUESS,W1264G3,"EGP 12,000","EGP 13,390"
GUESS,W1055G3,"EGP 16,230","EGP 18,090"
GUESS,W1055G2,"EGP 16,230","EGP 18,090"
GUESS,W1167G1,"EGP 13,890","EGP 15,490"
GUESS,W1167G2,"EGP 15,510","EGP 17,290"
GUESS,W1249G1,"EGP 15,870","EGP 17,690"
GUESS,W1302G4,"EGP 15,420","EGP 17,190"
GUESS,GW0470L1,"EGP 11,550","EGP 12,890"
GUESS,GW0470L2,"EGP 12,810","EGP 14,290"
CASIO G-SHOCK,DW-5600UBB-1DR,"EGP 6,460","EGP 7,190"
CASIO G-SHOCK,DW-5600BCE-1DR,"EGP 7,160","EGP 7,990"
CASIO G-SHOCK,GA-2100BCE-1ADR,"EGP 7,600","EGP 8,490"
CASIO G-SHOCK,GA-700BCE-1ADR,"EGP 7,420","EGP 8,290"
CASIO G-SHOCK,GA-B2100CT-1A5DR,"EGP 10,830","EGP 12,090"
CASIO G-SHOCK,GA-B2100CT-5ADR,"EGP 10,830","EGP 12,090"
CASIO G-SHOCK,GA-B2100CY-1ADR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,GA-B001CY-1ADR,"EGP 10,380","EGP 11,590"
CASIO G-SHOCK,GW-B5600CY-1DR,"EGP 8,860","EGP 9,890"
CASIO G-SHOCK,GA-700CY-1ADR,"EGP 6,710","EGP 7,490"
CASIO G-SHOCK,GA-100CY-1ADR,"EGP 7,780","EGP 8,690"
CASIO G-SHOCK,GA-2100HD-8ADR,"EGP 7,420","EGP 8,290"
CASIO G-SHOCK,GA-700HD-8ADR,"EGP 7,160","EGP 7,990"
CASIO G-SHOCK,GA-110HD-8ADR,"EGP 8,950","EGP 9,990"
CASIO G-SHOCK,DW-6900HD-8DR,"EGP 6,620","EGP 7,390"
CASIO G-SHOCK,GA-2000HD-8ADR,"EGP 9,130","EGP 10,190"
CASIO G-SHOCK,GA-2100-2A2DR,"EGP 6,890","EGP 7,690"
CASIO G-SHOCK,GA-2100-7A7DR,"EGP 6,890","EGP 7,690"
CASIO G-SHOCK,GA-2100-9A9DR,"EGP 6,890","EGP 7,690"
CASIO G-SHOCK,GA-B2100C-9ADR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,GA-B2100FC-1ADR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,GA-B2100FC-7ADR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,GA-B2100BNR-1ADR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,GA-B2100-1ADR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,GA-B2100-1A1DR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,GA-B2100-3ADR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,GA-B2100-2ADR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,GA-B2100MF-1ADR,"EGP 11,650","EGP 12,990"
CASIO G-SHOCK,GX-56MF-1DR,"EGP 12,210","EGP 13,590"
CASIO G-SHOCK,GA-700MF-1ADR,"EGP 8,250","EGP 9,190"
CASIO G-SHOCK,GA-100MF-1ADR,"EGP 9,150","EGP 10,190"
CASIO G-SHOCK,GA-110MF-1ADR,"EGP 10,300","EGP 11,490"
CASIO G-SHOCK,GA-B001CBR-1ADR,"EGP 10,380","EGP 11,590"
CASIO G-SHOCK,GA-B001CBR-2ADR,"EGP 10,380","EGP 11,590"
CASIO G-SHOCK,GA-B001CBRS-6ADR,"EGP 11,050","EGP 12,290"
CASIO G-SHOCK,GA-B001-1ADR,"EGP 8,410","EGP 9,390"
CASIO G-SHOCK,GA-B001-4ADR,"EGP 8,410","EGP 9,390"
CASIO G-SHOCK,GA-B001G-1ADR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,GA-B001G-2ADR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,DW-B5600SF-7DR,"EGP 11,460","EGP 12,790"
CASIO G-SHOCK,G-B001SF-7DR,"EGP 12,450","EGP 13,890"
CASIO G-SHOCK,GA-700BNR-1ADR,"EGP 7,070","EGP 7,890"
CASIO G-SHOCK,GA-100BNR-1ADR,"EGP 9,660","EGP 10,790"
CASIO G-SHOCK,GA-2200BNR-1ADR,"EGP 8,860","EGP 9,890"
CASIO G-SHOCK,GX-56RC-1DR,"EGP 10,470","EGP 11,690"
CASIO G-SHOCK,GA-2100RC-1ADR,"EGP 7,160","EGP 7,990"
CASIO G-SHOCK,GA-700RC-1ADR,"EGP 7,780","EGP 8,690"
CASIO G-SHOCK,GA-100RC-1ADR,"EGP 8,230","EGP 9,190"
CITIZEN,BI5110-54E,"EGP 8,410","EGP 9,390"
CITIZEN,BI5110-54L,"EGP 8,410","EGP 9,390"
CITIZEN,BI5110-54M,"EGP 8,410","EGP 9,390"
CITIZEN,BI5110-54Z,"EGP 8,410","EGP 9,390"
CITIZEN,BI5110-54H,"EGP 8,410","EGP 9,390"
CITIZEN,BI5110-54X,"EGP 8,410","EGP 9,390"
CITIZEN,BI5110-54A,"EGP 8,410","EGP 9,390"
CITIZEN,AN8210-56E,"EGP 10,740","EGP 11,990"
CITIZEN,AN8214-55E,"EGP 11,630","EGP 12,990"
CITIZEN,AN8216-50L,"EGP 11,630","EGP 12,990"
CITIZEN,AN8218-54E,"EGP 11,630","EGP 12,990"
CITIZEN,AN3690-56E,"EGP 10,740","EGP 11,990"
CITIZEN,AN3690-56A,"EGP 10,740","EGP 11,990"
CITIZEN,AN3690-56X,"EGP 10,740","EGP 11,990"
CITIZEN,AN3690-56B,"EGP 10,740","EGP 11,990"
CITIZEN,AN3690-56L,"EGP 10,740","EGP 11,990"
CITIZEN,AN8201-57L,"EGP 11,630","EGP 12,990"
CITIZEN,AN8200-50A,"EGP 11,630","EGP 12,990"
CITIZEN,AN8200-50X,"EGP 11,630","EGP 12,990"
CITIZEN,AN8204-59X,"EGP 12,170","EGP 13,590"
CITIZEN,AN8204-59H,"EGP 12,170","EGP 13,590"
CITIZEN,AN8206-53L,"EGP 12,170","EGP 13,590"
CITIZEN,AN3684-59L,"EGP 12,170","EGP 13,590"
CITIZEN,AN3686-53A,"EGP 12,170","EGP 13,590"
CITIZEN,AN3689-55X,"EGP 12,170","EGP 13,590"
CITIZEN,AN3681-57E,"EGP 10,740","EGP 11,990"
CITIZEN,AN3680-50A,"EGP 10,740","EGP 11,990"
CITIZEN,AN3688-58H,"EGP 10,740","EGP 11,990"
CITIZEN,AN8190-51L,"EGP 9,840","EGP 10,990"
CITIZEN,AN8190-51A,"EGP 9,840","EGP 10,990"
CITIZEN,AN8195-58E,"EGP 10,740","EGP 11,990"
CITIZEN,AN8196-55E,"EGP 10,740","EGP 11,990"
CITIZEN,BM7600-81A,"EGP 15,220","EGP 16,990"
CITIZEN,BM7600-81E,"EGP 15,220","EGP 16,990"
CITIZEN,BM7600-81L,"EGP 15,220","EGP 16,990"
CITIZEN,BM7606-84L,"EGP 17,920","EGP 19,990"
CITIZEN,BM7606-84A,"EGP 17,920","EGP 19,990"
CITIZEN,BM7603-82P,"EGP 17,920","EGP 19,990"
CITIZEN,BM7604-80E,"EGP 17,920","EGP 19,990"
CITIZEN,AW1810-85L,"EGP 14,320","EGP 15,990"
CITIZEN,AW1811-82X,"EGP 14,320","EGP 15,990"
CITIZEN,AW1816-89E,"EGP 14,320","EGP 15,990"
CITIZEN,AW1816-89L,"EGP 14,320","EGP 15,990"
CITIZEN,AW1816-89X,"EGP 14,320","EGP 15,990"
